Method,MethodLabel,BandIndex,BandCenter_Hz,ILDAbsoluteError_dB,Bootstrap95Lower_dB,Bootstrap95Upper_dB
HYBRID,Hybrid E190,33,16099.8349609375,2.6245673000812531,2.4247159645638683,2.8249221684580497
HYBRID,Hybrid E190,34,17945.59765625,2.7414447421377357,2.5555516471916979,2.9375862252983178
BOUNDED,Bounded E25,0,247.59120178222656,0.13772097721018575,0.12585118863816286,0.14970127262852406
BOUNDED,Bounded E25,1,301.46255493164062,0.17125053551386704,0.15366435339251025,0.18981473816728051
BOUNDED,Bounded E25,2,361.42340087890625,0.20766583186658946,0.18783358709717338,0.22853270001201467
BOUNDED,Bounded E25,3,428.16201782226562,0.22638633627105842,0.20876585353927857,0.24465157862922007
BOUNDED,Bounded E25,4,502.444580078125,0.36712145839225163,0.33269097725437446,0.40502794096246358
BOUNDED,Bounded E25,5,585.12384033203125,0.41746317662976007,0.37877939798107202,0.45877866073596202
BOUNDED,Bounded E25,6,677.14886474609375,0.47951858660036867,0.43616672769527542,0.52563400886614209
BOUNDED,Bounded E25,7,779.576171875,0.71700397269292315,0.65789915584027769,0.77990050539374356
BOUNDED,Bounded E25,8,893.58160400390625,0.79398685355078091,0.73591764264486059,0.85714215956289663
BOUNDED,Bounded E25,9,1020.4738159179688,0.73780348490584979,0.68882669711654831,0.78609315102750599
BOUNDED,Bounded E25,10,1161.7095947265625,0.92821186509999365,0.87254891751164732,0.98400479656728823
BOUNDED,Bounded E25,11,1318.9102783203125,0.94104720313440671,0.86247852453115315,1.02345089008185
BOUNDED,Bounded E25,12,1493.88037109375,1.0208107002756812,0.95289939702911808,1.0943005421283569
BOUNDED,Bounded E25,13,1688.628662109375,1.1491556614637375,1.0654765902595087,1.2363354217261076
BOUNDED,Bounded E25,14,1905.390625,1.341124806891788,1.2402736572379416,1.4475051231343636
BOUNDED,Bounded E25,15,2146.65478515625,1.508508336814967,1.420327431945638,1.6004627394066615
BOUNDED,Bounded E25,16,2415.19091796875,1.6325377930294385,1.5495476182211529,1.715251398222013
BOUNDED,Bounded E25,17,2714.081298828125,1.7754114039919593,1.6708089462735436,1.8804771866649388
BOUNDED,Bounded E25,18,3046.757568359375,1.7746420909057965,1.666586785628037,1.8846612084995615
BOUNDED,Bounded E25,19,3417.03857421875,1.8042334087870338,1.6840384760702198,1.928586900809949
BOUNDED,Bounded E25,20,3829.1748046875,1.7486610778353431,1.6393494977869771,1.8632316435263916
BOUNDED,Bounded E25,21,4287.89794921875,1.7067379951477051,1.6107468965378675,1.8097692124545575
BOUNDED,Bounded E25,22,4798.4736328125,1.7308206097646193,1.6421709718352016,1.8283504791557788
BOUNDED,Bounded E25,23,5366.763671875,1.7951521114869551,1.7155875560912219,1.8777268426662141
BOUNDED,Bounded E25,24,5999.29150390625,1.9690133441578259,1.8476080710915002,2.0950142901729452
BOUNDED,Bounded E25,25,6703.318359375,2.2063851979645817,2.0506750949404458,2.3772183658047159
BOUNDED,Bounded E25,26,7486.92626953125,2.4946676438504998,2.3355176679790017,2.6556463261896917
BOUNDED,Bounded E25,27,8359.1103515625,2.6424078236926687,2.4684375499459832,2.8262854807078837
BOUNDED,Bounded E25,28,9329.884765625,2.53413941914385,2.3879670762202956,2.6853356607935646
BOUNDED,Bounded E25,29,10410.3916015625,2.557622503150593,2.3951803349635816,2.727935839241201
BOUNDED,Bounded E25,30,11613.0361328125,2.5426906265995721,2.3704312909733165,2.7249100731855087
BOUNDED,Bounded E25,31,12951.625,2.3930745016444814,2.2535526607524266,2.5384435491128401
BOUNDED,Bounded E25,32,14441.5224609375,2.3794176009568302,2.2079295910217547,2.5612291868437422
BOUNDED,Bounded E25,33,16099.8349609375,2.6226471472870219,2.4414048960263077,2.8025440175424925
BOUNDED,Bounded E25,34,17945.59765625,2.758757309480147,2.5765309066257696,2.9501543183895675
