SparseOrder,Method,Ear,FrequencyHz,MeanERBError_dB,SD_ERBError_dB
1,MCA,Right,12829.0971134787,3.08051760462888,0.455515063967252
1,MCA,Right,14301.580033442,3.22061934518149,0.397777397252575
1,MCA,Right,15940.1081035055,3.39471803628086,0.46150068907327
1,MCA,Right,17763.4054742165,3.53830856710412,0.501082121858273
1,MCA,Right,19792.3077327617,3.46433560676889,0.577272324364067
2,SH,Left,49.9999999999997,0.00128918916631421,0.000186033652148699
2,SH,Left,81.4427085053407,0.00132038920730148,0.000224734602078435
2,SH,Left,116.431067138464,0.00255291128732738,0.00048475323111933
2,SH,Left,155.364902613614,0.00456709069173395,0.000944742596819852
2,SH,Left,198.689128271089,0.00756903151524251,0.00161550361034151
2,SH,Left,246.898828289411,0.0135922733438327,0.00236099498964998
2,SH,Left,300.544915220817,0.0174556062396267,0.0035802720689728
2,SH,Left,360.240425501075,0.0268950740907569,0.00532522784461438
2,SH,Left,426.667524875106,0.0454430217910501,0.00881470380761995
2,SH,Left,500.585303792335,0.0790755093164721,0.0151111207375718
2,SH,Left,582.838451853057,0.136043392661805,0.0250368617547414
2,SH,Left,674.366910432351,0.227690662382678,0.0395989260550169
2,SH,Left,776.216613786162,0.371086676763643,0.060133792913994
2,SH,Left,889.551441382679,0.58449696589695,0.0877237252016007
2,SH,Left,1015.66651804335,0.901071726364554,0.124873991220506
2,SH,Left,1156.00301387982,1.35879267257531,0.172507260486982
2,SH,Left,1312.16461315198,1.97379272430446,0.222439001108252
2,SH,Left,1485.93584024358,2.68431531209924,0.253775855373113
2,SH,Left,1679.30245217416,3.35566078503566,0.261234152905363
2,SH,Left,1894.47413068111,3.95827488008014,0.298397798823019
2,SH,Left,2133.90973318379,4.58320609798645,0.36758518369001
2,SH,Left,2400.34539118311,5.32880547054062,0.425885226376512
2,SH,Left,2696.82577718896,6.05381497353132,0.39687450317765
2,SH,Left,3026.73889747556,6.62205408078846,0.404690783587251
2,SH,Left,3393.85480825658,7.37860839320629,0.496212412572865
2,SH,Left,3802.36869770572,7.87439701270101,0.42740913728563
2,SH,Left,4256.94882613932,7.10041964365027,0.747830155248431
2,SH,Left,4762.78987219375,5.5281473847068,0.855808607525614
2,SH,Left,5325.67229460656,4.60383377103968,0.586199917445245
2,SH,Left,5952.02838795379,4.37677771833755,0.584758009637166
2,SH,Left,6649.01578718983,4.17758023520688,0.569109298661894
2,SH,Left,7424.59926095756,4.04693177667895,0.557477901333089
2,SH,Left,8287.64172835503,4.07265089590757,0.523673558781779
2,SH,Left,9248.00553924585,4.0787167237547,0.563296230728172
2,SH,Left,10316.6651754859,4.07816309777034,0.515535995021237
2,SH,Left,11505.8326609511,4.23956930101274,0.446683377988
2,SH,Left,12829.0971134787,4.34051656302037,0.484766202294192
2,SH,Left,14301.580033442,4.6709525644371,0.511606138334858
2,SH,Left,15940.1081035055,5.35593900523389,0.524143472894366
2,SH,Left,17763.4054742165,5.65658899066943,0.567655581358446
2,SH,Left,19792.3077327617,5.30587776305444,0.643315737861075
2,SH,Right,49.9999999999997,0.00135561819444351,0.000195616964880764
2,SH,Right,81.4427085053407,0.00156536884359842,0.00032454901074914
2,SH,Right,116.431067138464,0.00311294040879025,0.000699231846480881
2,SH,Right,155.364902613614,0.00559307037859323,0.0013429750202883
2,SH,Right,198.689128271089,0.00923142500188059,0.00227847953222927
2,SH,Right,246.898828289411,0.0159683985183232,0.00331818220054141
2,SH,Right,300.544915220817,0.0213168574188844,0.00496017453531713
2,SH,Right,360.240425501075,0.0328931067678968,0.00746699859254838
2,SH,Right,426.667524875106,0.0552888196538567,0.012210060577036
2,SH,Right,500.585303792335,0.0954597486873782,0.0206117766040339
2,SH,Right,582.838451853057,0.162654267766876,0.0337686196455068
2,SH,Right,674.366910432351,0.269163050398957,0.0527495826132256
2,SH,Right,776.216613786162,0.432756450131206,0.0787022561058152
2,SH,Right,889.551441382679,0.671454723498963,0.112691613116922
2,SH,Right,1015.66651804335,1.01693823112072,0.157075296262976
2,SH,Right,1156.00301387982,1.50562910856085,0.21313680832739
2,SH,Right,1312.16461315198,2.15223126811145,0.273280327274392
2,SH,Right,1485.93584024358,2.89337226218837,0.317275731474845
2,SH,Right,1679.30245217416,3.60281773230026,0.343057800497013
2,SH,Right,1894.47413068111,4.25931533668361,0.378035267423724
2,SH,Right,2133.90973318379,4.9428835883435,0.430420137177212
2,SH,Right,2400.34539118311,5.71415532285012,0.484391096439655
2,SH,Right,2696.82577718896,6.40311557384865,0.466283006356405
2,SH,Right,3026.73889747556,6.98665905650008,0.514452703783738
2,SH,Right,3393.85480825658,7.61184346839445,0.506604806614924
2,SH,Right,3802.36869770572,7.51243055128387,0.644445601487231
2,SH,Right,4256.94882613932,6.24795455404793,1.05320948745834
2,SH,Right,4762.78987219375,4.83362667599828,0.881018903033876
2,SH,Right,5325.67229460656,4.1993144180736,0.521433528507138
2,SH,Right,5952.02838795379,3.98745224565702,0.492766712007098
2,SH,Right,6649.01578718983,3.80925642169835,0.494220190100648
2,SH,Right,7424.59926095756,3.79768119531641,0.465782071807221
2,SH,Right,8287.64172835503,4.0412840911458,0.494277524089371
2,SH,Right,9248.00553924585,4.22625002763977,0.645193686770432
2,SH,Right,10316.6651754859,4.25532652263402,0.581651743932606
2,SH,Right,11505.8326609511,4.31673770361493,0.39904797044211
2,SH,Right,12829.0971134787,4.42984030458112,0.466380798370672
2,SH,Right,14301.580033442,4.91194827799043,0.605948205678296
2,SH,Right,15940.1081035055,5.39367509755535,0.607798737547724
2,SH,Right,17763.4054742165,5.3457464061261,0.586118431310142
2,SH,Right,19792.3077327617,4.93137484211326,0.589328909828075
2,Conventional,Left,49.9999999999997,0.0103775445102007,0.00312334720456805
2,Conventional,Left,81.4427085053407,0.0101045372298113,0.00316183902595602
2,Conventional,Left,116.431067138464,0.00863510603218671,0.00271687257166807
2,Conventional,Left,155.364902613614,0.00524315240257811,0.00138342445453046
2,Conventional,Left,198.689128271089,0.00504136972207388,0.000972515700132244
2,Conventional,Left,246.898828289411,0.00744420344083883,0.00118324451565546
2,Conventional,Left,300.544915220817,0.013663796794624,0.00288039202027299
2,Conventional,Left,360.240425501075,0.0294380353782628,0.00675758821461568
2,Conventional,Left,426.667524875106,0.0580653029541835,0.0120404355420834
2,Conventional,Left,500.585303792335,0.101322993283976,0.0180090838162712
2,Conventional,Left,582.838451853057,0.159310386192496,0.0238379645623797
2,Conventional,Left,674.366910432351,0.227922719791359,0.0296719078516398
2,Conventional,Left,776.216613786162,0.302812291864852,0.036764880873097
2,Conventional,Left,889.551441382679,0.378223770025604,0.0434435214845712
2,Conventional,Left,1015.66651804335,0.447077921861808,0.0480015375021749
2,Conventional,Left,1156.00301387982,0.520444246223539,0.0504407839854907
2,Conventional,Left,1312.16461315198,0.602740977272501,0.0570470539376727
