SparseOrder,Method,Ear,Region,SubjectCount,MeanERBError_dB,SD_ERBError_dB,MedianERBError_dB,MinERBError_dB,MaxERBError_dB
4,SH,Left,FullSphere,96,1.850152954605,0.0584393035453401,1.84732006424642,1.64522064381608,1.98914671740039
4,SH,Left,Frontal25deg,96,1.72538602032367,0.171462524603083,1.72060155086758,1.33293785175282,2.33617143718866
4,SH,Left,Contralateral25deg,96,4.2074360526546,0.289486092515514,4.20476119007365,3.3688470639967,4.96693269827668
4,SH,Right,FullSphere,96,1.86295116360773,0.0618896079889898,1.85823880106472,1.68868859838344,1.98739650585359
4,SH,Right,Frontal25deg,96,1.73226285284531,0.142864393165189,1.73544286190741,1.11454308859864,2.12048778089555
4,SH,Right,Contralateral25deg,96,4.12349961736315,0.317181495755937,4.12145512368651,3.3279617796867,4.8964928869063
4,Conventional,Left,FullSphere,96,0.917971021096786,0.066183243635007,0.910312127723704,0.810100166485775,1.07678063948696
4,Conventional,Left,Frontal25deg,96,0.746008264893355,0.15313219157898,0.739417739603878,0.422894138501344,1.07447010860045
4,Conventional,Left,Contralateral25deg,96,2.13696245516846,0.145804861087672,2.14870690910457,1.67287588364949,2.58206531091349
4,Conventional,Right,FullSphere,96,0.868032554437072,0.0585849454194964,0.862723511298511,0.736630281231244,1.06338946380183
4,Conventional,Right,Frontal25deg,96,0.574961912594331,0.15334665044354,0.546021946688021,0.330033958948382,1.01866781593891
4,Conventional,Right,Contralateral25deg,96,2.16250267917495,0.149261487185218,2.16578066924004,1.87769494809909,2.57838083944922
4,MCA,Left,FullSphere,96,0.686512209199867,0.036798147222515,0.690132216133158,0.565129866027933,0.764243804478987
4,MCA,Left,Frontal25deg,96,0.431931934207105,0.0564045434767544,0.426810931249071,0.326160999117449,0.608226750934095
4,MCA,Left,Contralateral25deg,96,1.69631483655442,0.104400238666161,1.70136248482997,1.36413656203272,1.92873217428581
4,MCA,Right,FullSphere,96,0.675805756326556,0.0360507771155087,0.673336606345817,0.56662370025622,0.753123475770217
4,MCA,Right,Frontal25deg,96,0.416009664679452,0.0508824807715839,0.409945430144396,0.298859129774771,0.577591169650978
4,MCA,Right,Contralateral25deg,96,1.6973277597227,0.105096427856523,1.70860457018552,1.38368908486493,1.95152611912528
5,SH,Left,FullSphere,96,1.79521208963092,0.0593958460020195,1.7964467246119,1.63457199803585,1.91199308871007
5,SH,Left,Frontal25deg,96,1.20086231006198,0.113416496292856,1.17808912396042,0.981714437427793,1.59555053712118
5,SH,Left,Contralateral25deg,96,3.99457958279515,0.309288335534863,4.01639862308732,2.87466443289517,4.66757005225138
5,SH,Right,FullSphere,96,1.8075306964647,0.0570580562734697,1.80781310630522,1.67108162095683,1.91679686044401
5,SH,Right,Frontal25deg,96,1.26364445839618,0.119793721941584,1.2303634247748,1.06380977549777,1.69225846763364
5,SH,Right,Contralateral25deg,96,3.92966853204566,0.303109115909718,3.93979558425078,3.2188227880338,4.61520465998533
