SubjectLabel,SubjectID,DirectionCount,Method,MethodLabel,Metric,MetricLabel,Value_dB
P0354,354,26,MCARv351,MCAR v3.5.1,HorizontalILDMAE,Horizontal ILD MAE,0.477481066677651
P0354,354,26,FSPAE,FSP-AE,FullSphereERB,Full-sphere ERB,1.24821448094433
P0354,354,26,FSPAE,FSP-AE,Contralateral25ERB,Contralateral 25-deg ERB,1.94639641869929
P0354,354,26,FSPAE,FSP-AE,ContralateralHighFrequency,Contralateral HF,3.54952153784906
P0354,354,26,FSPAE,FSP-AE,HorizontalILDMAE,Horizontal ILD MAE,0.564110008006886
P0354,354,26,RANF,RANF,FullSphereERB,Full-sphere ERB,1.10972837352567
P0354,354,26,RANF,RANF,Contralateral25ERB,Contralateral 25-deg ERB,1.38554810268812
P0354,354,26,RANF,RANF,ContralateralHighFrequency,Contralateral HF,3.80014243021331
P0354,354,26,RANF,RANF,HorizontalILDMAE,Horizontal ILD MAE,0.585612910470312
P0354,354,26,HYBRID,Hybrid E190,FullSphereERB,Full-sphere ERB,0.790234769827955
P0354,354,26,HYBRID,Hybrid E190,Contralateral25ERB,Contralateral 25-deg ERB,1.22359213193407
P0354,354,26,HYBRID,Hybrid E190,ContralateralHighFrequency,Contralateral HF,3.71544718762277
P0354,354,26,HYBRID,Hybrid E190,HorizontalILDMAE,Horizontal ILD MAE,0.556762786543537
P0354,354,26,BOUNDED,Bounded E25,FullSphereERB,Full-sphere ERB,0.797715733082536
P0354,354,26,BOUNDED,Bounded E25,Contralateral25ERB,Contralateral 25-deg ERB,1.24547554446066
P0354,354,26,BOUNDED,Bounded E25,ContralateralHighFrequency,Contralateral HF,3.74222170777081
P0354,354,26,BOUNDED,Bounded E25,HorizontalILDMAE,Horizontal ILD MAE,0.440431725384677
P0354,354,50,SHOnly,SH only,FullSphereERB,Full-sphere ERB,2.83199679408109
P0354,354,50,SHOnly,SH only,Contralateral25ERB,Contralateral 25-deg ERB,3.5809584154549
P0354,354,50,SHOnly,SH only,ContralateralHighFrequency,Contralateral HF,7.93535250399512
P0354,354,50,SHOnly,SH only,HorizontalILDMAE,Horizontal ILD MAE,3.88018734288183
P0354,354,50,SUpDEqSH,SUpDEq + SH,FullSphereERB,Full-sphere ERB,1.71188141860387
