mode,target_subject,condition_donor,weighted_mae_db,weighted_rmse_db,seed
condition_shuffle,P0338,P0341,3.6057671917854486,5.428138632879886,20260823
condition_shuffle,P0341,P0354,3.1941283654254704,4.763590796425508,20260823
condition_shuffle,P0354,P0360,3.2431502835020027,4.915009687150314,20260823
condition_shuffle,P0360,P0369,2.810720389871141,4.327569061254272,20260823
condition_shuffle,P0369,P0001,2.89191207065289,4.448779424032932,20260823
train_mean_latent,P0001,train_mean,3.2884488444356856,4.9799724234534555,20260823
train_mean_latent,P0012,train_mean,3.298036957421856,5.049108519010824,20260823
train_mean_latent,P0013,train_mean,3.1602801359180357,4.863495626752091,20260823
train_mean_latent,P0022,train_mean,3.046136160604056,4.715175891818403,20260823
train_mean_latent,P0026,train_mean,3.3282733579115407,5.097507531269378,20260823
train_mean_latent,P0046,train_mean,3.0886127373826406,4.700175532466258,20260823
train_mean_latent,P0066,train_mean,3.296469930853192,4.959228045010633,20260823
train_mean_latent,P0073,train_mean,2.8705257385696243,4.5290745683481894,20260823
train_mean_latent,P0113,train_mean,3.1916302687958167,4.827837850259376,20260823
train_mean_latent,P0116,train_mean,3.494884962551615,5.199643510056589,20260823
train_mean_latent,P0125,train_mean,3.2848545942090084,4.942285167953871,20260823
train_mean_latent,P0149,train_mean,3.044063453953742,4.74571195537056,20260823
train_mean_latent,P0161,train_mean,2.946924293565351,4.518737832171955,20260823
train_mean_latent,P0166,train_mean,3.164743153543607,4.829073252963263,20260823
train_mean_latent,P0167,train_mean,3.2483157309367856,4.881881456869805,20260823
train_mean_latent,P0170,train_mean,3.2586723118621923,4.9494503377305,20260823
train_mean_latent,P0171,train_mean,3.0706107734815578,4.674787876579759,20260823
train_mean_latent,P0172,train_mean,2.9032362115764747,4.493858619593326,20260823
train_mean_latent,P0174,train_mean,3.2632969447515157,4.964988892271676,20260823
train_mean_latent,P0193,train_mean,3.1325334743097795,4.802289821847208,20260823
train_mean_latent,P0194,train_mean,3.1138932295573394,4.726767351013246,20260823
train_mean_latent,P0198,train_mean,3.0021239282930456,4.587112152077908,20260823
train_mean_latent,P0202,train_mean,2.9017401863492505,4.470126300485764,20260823
train_mean_latent,P0203,train_mean,3.122329898728219,4.8618264306648005,20260823
train_mean_latent,P0207,train_mean,3.0252864367270536,4.589047812292378,20260823
train_mean_latent,P0208,train_mean,3.2219983219532575,4.908330379507588,20260823
train_mean_latent,P0221,train_mean,3.2736676041742987,4.920921362205051,20260823
train_mean_latent,P0230,train_mean,3.104555946856668,4.838779857901042,20260823
train_mean_latent,P0242,train_mean,3.0543082253110634,4.632610024987713,20260823
train_mean_latent,P0256,train_mean,3.172505798921093,4.835163665436542,20260823
train_mean_latent,P0257,train_mean,3.066751608557424,4.6324071403784135,20260823
train_mean_latent,P0274,train_mean,3.0330680330597923,4.659543474405797,20260823
train_mean_latent,P0277,train_mean,3.0673748454372576,4.646186495807505,20260823
train_mean_latent,P0278,train_mean,2.9271074158043264,4.572708742954883,20260823
train_mean_latent,P0294,train_mean,3.3335805316774927,5.033530899829186,20260823
train_mean_latent,P0295,train_mean,2.985011944279436,4.658491498058452,20260823
train_mean_latent,P0307,train_mean,3.0872193520769704,4.705512317650768,20260823
train_mean_latent,P0313,train_mean,3.0457872428724144,4.617607497701716,20260823
train_mean_latent,P0335,train_mean,3.7617683382487597,5.327102852570461,20260823
train_mean_latent,P0338,train_mean,3.6715468702954253,5.484850913548759,20260823
train_mean_latent,P0341,train_mean,3.214744906201403,4.78552991407279,20260823
train_mean_latent,P0354,train_mean,3.2134197508729625,4.876809109164598,20260823
train_mean_latent,P0360,train_mean,2.7588335116438754,4.276339647836671,20260823
train_mean_latent,P0369,train_mean,2.936847127346089,4.524622285178745,20260823
