source_index_zero_based,azimuth_deg,elevation_deg,colatitude_deg,solid_angle_weight,is_q26_sparse_input,is_interpolation_evaluation
365,100.0000000000,60.0000000000,30.0000000000,0.00106195101607762,0,1
366,100.0000000000,45.0000000000,45.0000000000,0.001501825529512859,0,1
367,100.0000000000,30.0000000000,60.0000000000,0.001514446428368378,0,1
368,100.0000000000,20.0000000000,70.0000000000,0.001332657772229949,0,1
369,100.0000000000,10.0000000000,80.0000000000,0.001396639366079517,0,1
370,100.0000000000,0.0000000000,90.0000000000,0.001418184779524379,0,1
371,100.0000000000,-10.0000000000,100.0000000000,0.001396639366079517,0,1
372,100.0000000000,-20.0000000000,110.0000000000,0.001332657772229949,0,1
373,100.0000000000,-30.0000000000,120.0000000000,0.001514446428368378,0,1
374,100.0000000000,-45.0000000000,135.0000000000,0.0008001301876307305,0,1
375,275.0000000000,-45.0000000000,135.0000000000,0.0008001301876307305,0,1
376,275.0000000000,-30.0000000000,120.0000000000,0.001514446428368378,0,1
