SubjectLabel,SubjectID,Seed,Variant,Metric,Value
P0194,194,20260821,FiLM-SIREN E130,FullSphereERB,0.828580050110121
P0194,194,20260821,FiLM-SIREN E130,Contralateral25ERB,1.27553364378536
P0194,194,20260821,FSC E190,FullSphereERB,0.797981230190614
P0194,194,20260821,FSC E190,Contralateral25ERB,1.25359871792734
P0194,194,20260822,FiLM-SIREN E130,FullSphereERB,0.835115076353837
P0194,194,20260822,FiLM-SIREN E130,Contralateral25ERB,1.287372277253
P0194,194,20260822,FSC E190,FullSphereERB,0.804368531893282
P0194,194,20260822,FSC E190,Contralateral25ERB,1.25875384903885
P0194,194,20260823,FiLM-SIREN E130,FullSphereERB,0.819027193955104
P0194,194,20260823,FiLM-SIREN E130,Contralateral25ERB,1.26105353837403
P0194,194,20260823,FSC E190,FullSphereERB,0.788762032496539
P0194,194,20260823,FSC E190,Contralateral25ERB,1.23560269818638
P0198,198,20260821,FiLM-SIREN E130,FullSphereERB,0.820166509286147
P0198,198,20260821,FiLM-SIREN E130,Contralateral25ERB,1.16769627658281
P0198,198,20260821,FSC E190,FullSphereERB,0.791190353399533
P0198,198,20260821,FSC E190,Contralateral25ERB,1.16413045529891
P0198,198,20260822,FiLM-SIREN E130,FullSphereERB,0.830814850874183
P0198,198,20260822,FiLM-SIREN E130,Contralateral25ERB,1.19430752424372
P0198,198,20260822,FSC E190,FullSphereERB,0.802511530721309
P0198,198,20260822,FSC E190,Contralateral25ERB,1.18485159553504
P0198,198,20260823,FiLM-SIREN E130,FullSphereERB,0.832777845960503
P0198,198,20260823,FiLM-SIREN E130,Contralateral25ERB,1.14232127205023
P0198,198,20260823,FSC E190,FullSphereERB,0.802630917335625
P0198,198,20260823,FSC E190,Contralateral25ERB,1.1248674706032
P0202,202,20260821,FiLM-SIREN E130,FullSphereERB,0.859845987372105
P0202,202,20260821,FiLM-SIREN E130,Contralateral25ERB,1.23648597942866
P0202,202,20260821,FSC E190,FullSphereERB,0.833477171346471
P0202,202,20260821,FSC E190,Contralateral25ERB,1.24052223585076
P0202,202,20260822,FiLM-SIREN E130,FullSphereERB,0.856377724960183
P0202,202,20260822,FiLM-SIREN E130,Contralateral25ERB,1.23403031676855
P0202,202,20260822,FSC E190,FullSphereERB,0.825883392932296
P0202,202,20260822,FSC E190,Contralateral25ERB,1.21462918455678
P0202,202,20260823,FiLM-SIREN E130,FullSphereERB,0.850806015019564
P0202,202,20260823,FiLM-SIREN E130,Contralateral25ERB,1.2610947847881
P0202,202,20260823,FSC E190,FullSphereERB,0.827955728846632
P0202,202,20260823,FSC E190,Contralateral25ERB,1.25571033527718
P0203,203,20260821,FiLM-SIREN E130,FullSphereERB,0.707887689005295
P0203,203,20260821,FiLM-SIREN E130,Contralateral25ERB,1.03644408693041
P0203,203,20260821,FSC E190,FullSphereERB,0.682549788693456
P0203,203,20260821,FSC E190,Contralateral25ERB,1.02116641089075
P0203,203,20260822,FiLM-SIREN E130,FullSphereERB,0.721795828915018
P0203,203,20260822,FiLM-SIREN E130,Contralateral25ERB,1.05302738955773
P0203,203,20260822,FSC E190,FullSphereERB,0.695850030810736
P0203,203,20260822,FSC E190,Contralateral25ERB,1.04481006381171
P0203,203,20260823,FiLM-SIREN E130,FullSphereERB,0.707806565529331
P0203,203,20260823,FiLM-SIREN E130,Contralateral25ERB,1.04025167630979
P0203,203,20260823,FSC E190,FullSphereERB,0.688071823040943
P0203,203,20260823,FSC E190,Contralateral25ERB,1.02595723785528
P0207,207,20260821,FiLM-SIREN E130,FullSphereERB,0.875877557682469
P0207,207,20260821,FiLM-SIREN E130,Contralateral25ERB,1.23999800451591
P0207,207,20260821,FSC E190,FullSphereERB,0.84703578569599
P0207,207,20260821,FSC E190,Contralateral25ERB,1.21663701675375
P0207,207,20260822,FiLM-SIREN E130,FullSphereERB,0.863419427104885
P0207,207,20260822,FiLM-SIREN E130,Contralateral25ERB,1.20968959953536
P0207,207,20260822,FSC E190,FullSphereERB,0.826893382031145
P0207,207,20260822,FSC E190,Contralateral25ERB,1.1885879580633
P0207,207,20260823,FiLM-SIREN E130,FullSphereERB,0.897243545233224
P0207,207,20260823,FiLM-SIREN E130,Contralateral25ERB,1.25707937613739
P0207,207,20260823,FSC E190,FullSphereERB,0.873333545528337
P0207,207,20260823,FSC E190,Contralateral25ERB,1.22890348748174
P0208,208,20260821,FiLM-SIREN E130,FullSphereERB,0.844722119485445
P0208,208,20260821,FiLM-SIREN E130,Contralateral25ERB,1.10045532742039
P0208,208,20260821,FSC E190,FullSphereERB,0.811263155429818
P0208,208,20260821,FSC E190,Contralateral25ERB,1.08288090130459
P0208,208,20260822,FiLM-SIREN E130,FullSphereERB,0.827555479720442
P0208,208,20260822,FiLM-SIREN E130,Contralateral25ERB,1.16192203397504
P0208,208,20260822,FSC E190,FullSphereERB,0.802723458669676
P0208,208,20260822,FSC E190,Contralateral25ERB,1.1697014462774
P0208,208,20260823,FiLM-SIREN E130,FullSphereERB,0.855712588392305
P0208,208,20260823,FiLM-SIREN E130,Contralateral25ERB,1.15198648547425
P0208,208,20260823,FSC E190,FullSphereERB,0.822091663788975
P0208,208,20260823,FSC E190,Contralateral25ERB,1.1290179572667
P0221,221,20260821,FiLM-SIREN E130,FullSphereERB,0.913337375014589
P0221,221,20260821,FiLM-SIREN E130,Contralateral25ERB,1.40952830544776
P0221,221,20260821,FSC E190,FullSphereERB,0.883888140075869
P0221,221,20260821,FSC E190,Contralateral25ERB,1.39619834194203
P0221,221,20260822,FiLM-SIREN E130,FullSphereERB,0.896759288385039
P0221,221,20260822,FiLM-SIREN E130,Contralateral25ERB,1.3993534124443
P0221,221,20260822,FSC E190,FullSphereERB,0.861929956492255
P0221,221,20260822,FSC E190,Contralateral25ERB,1.37497272740007
P0221,221,20260823,FiLM-SIREN E130,FullSphereERB,0.906037747315698
P0221,221,20260823,FiLM-SIREN E130,Contralateral25ERB,1.38723593512461
P0221,221,20260823,FSC E190,FullSphereERB,0.879054387701999
P0221,221,20260823,FSC E190,Contralateral25ERB,1.37036397421837
P0230,230,20260821,FiLM-SIREN E130,FullSphereERB,0.772996502031603
P0230,230,20260821,FiLM-SIREN E130,Contralateral25ERB,1.12413965859931
P0230,230,20260821,FSC E190,FullSphereERB,0.750386980664617
P0230,230,20260821,FSC E190,Contralateral25ERB,1.09618375650608
P0230,230,20260822,FiLM-SIREN E130,FullSphereERB,0.74788087778034
P0230,230,20260822,FiLM-SIREN E130,Contralateral25ERB,1.11489775496864
P0230,230,20260822,FSC E190,FullSphereERB,0.720797595639522
P0230,230,20260822,FSC E190,Contralateral25ERB,1.09594166931213
P0230,230,20260823,FiLM-SIREN E130,FullSphereERB,0.757549871113508
P0230,230,20260823,FiLM-SIREN E130,Contralateral25ERB,1.11358682108782
P0230,230,20260823,FSC E190,FullSphereERB,0.740461247936153
P0230,230,20260823,FSC E190,Contralateral25ERB,1.09756520237281
P0242,242,20260821,FiLM-SIREN E130,FullSphereERB,0.938136669322308
P0242,242,20260821,FiLM-SIREN E130,Contralateral25ERB,1.5043287694267
P0242,242,20260821,FSC E190,FullSphereERB,0.922179234545825
P0242,242,20260821,FSC E190,Contralateral25ERB,1.48261316046477
P0242,242,20260822,FiLM-SIREN E130,FullSphereERB,0.925630819328823
P0242,242,20260822,FiLM-SIREN E130,Contralateral25ERB,1.50619696651366
P0242,242,20260822,FSC E190,FullSphereERB,0.906795198112389
P0242,242,20260822,FSC E190,Contralateral25ERB,1.46512694935012
P0242,242,20260823,FiLM-SIREN E130,FullSphereERB,0.91244346473284
P0242,242,20260823,FiLM-SIREN E130,Contralateral25ERB,1.42898689963434
P0242,242,20260823,FSC E190,FullSphereERB,0.893418434254632
P0242,242,20260823,FSC E190,Contralateral25ERB,1.40243714075276
P0256,256,20260821,FiLM-SIREN E130,FullSphereERB,0.83935456367531
P0256,256,20260821,FiLM-SIREN E130,Contralateral25ERB,1.28632782349827
P0256,256,20260821,FSC E190,FullSphereERB,0.821785519659866
P0256,256,20260821,FSC E190,Contralateral25ERB,1.2678976708609
P0256,256,20260822,FiLM-SIREN E130,FullSphereERB,0.825742219165917
P0256,256,20260822,FiLM-SIREN E130,Contralateral25ERB,1.25342498590507
P0256,256,20260822,FSC E190,FullSphereERB,0.810062634597744
P0256,256,20260822,FSC E190,Contralateral25ERB,1.23095207237592
P0256,256,20260823,FiLM-SIREN E130,FullSphereERB,0.839932365135047
P0256,256,20260823,FiLM-SIREN E130,Contralateral25ERB,1.27315307532848
P0256,256,20260823,FSC E190,FullSphereERB,0.823417096874667
P0256,256,20260823,FSC E190,Contralateral25ERB,1.2635879325934
P0257,257,20260821,FiLM-SIREN E130,FullSphereERB,0.859754564709867
P0257,257,20260821,FiLM-SIREN E130,Contralateral25ERB,1.20895608594964
P0257,257,20260821,FSC E190,FullSphereERB,0.854323778379697
P0257,257,20260821,FSC E190,Contralateral25ERB,1.18802550056462
P0257,257,20260822,FiLM-SIREN E130,FullSphereERB,0.86715879228502
P0257,257,20260822,FiLM-SIREN E130,Contralateral25ERB,1.24736570233874
P0257,257,20260822,FSC E190,FullSphereERB,0.859847149048814
P0257,257,20260822,FSC E190,Contralateral25ERB,1.21073205742133
P0257,257,20260823,FiLM-SIREN E130,FullSphereERB,0.849822946786667
P0257,257,20260823,FiLM-SIREN E130,Contralateral25ERB,1.17637760222147
P0257,257,20260823,FSC E190,FullSphereERB,0.842362505379637
P0257,257,20260823,FSC E190,Contralateral25ERB,1.15251388114649
P0274,274,20260821,FiLM-SIREN E130,FullSphereERB,0.73567939281481
P0274,274,20260821,FiLM-SIREN E130,Contralateral25ERB,1.17073201112072
P0274,274,20260821,FSC E190,FullSphereERB,0.719350809216997
P0274,274,20260821,FSC E190,Contralateral25ERB,1.16540468985924
P0274,274,20260822,FiLM-SIREN E130,FullSphereERB,0.748079526370566
P0274,274,20260822,FiLM-SIREN E130,Contralateral25ERB,1.15170575509908
P0274,274,20260822,FSC E190,FullSphereERB,0.72953642781228
P0274,274,20260822,FSC E190,Contralateral25ERB,1.13554154263065
P0274,274,20260823,FiLM-SIREN E130,FullSphereERB,0.73374456642772
