Seed,SubjectLabel,SubjectID,Variant,Metric,Unit,Value
20260821,P0066,66,FiLM-SIREN E130,MultiScaleNotchDepthMAE,dB,0.74023514986038208
20260821,P0066,66,FSC E190,FullSphereERB,dB,0.935435842619039
20260821,P0066,66,FSC E190,Contralateral25ERB,dB,1.4392402317806401
20260821,P0066,66,FSC E190,ERBBandILDMean,dB,1.76409912109375
20260821,P0066,66,FSC E190,ITDWeightedMAE,us,14.103660549579416
20260821,P0066,66,FSC E190,FullSphereLSD,dB,4.1384979644109077
20260821,P0066,66,FSC E190,HFFirstDifferenceMAE,dB/bin,0.49299505352973938
20260821,P0066,66,FSC E190,HFSecondDifferenceMAE,dB/bin^2,0.30009716749191284
20260821,P0066,66,FSC E190,MultiScaleNotchDepthMAE,dB,0.61086630821228027
20260822,P0066,66,FiLM-SIREN E130,FullSphereERB,dB,0.98610931142007097
20260822,P0066,66,FiLM-SIREN E130,Contralateral25ERB,dB,1.57313520585436
20260822,P0066,66,FiLM-SIREN E130,ERBBandILDMean,dB,1.993626594543457
20260822,P0066,66,FiLM-SIREN E130,ITDWeightedMAE,us,13.915216293609653
20260822,P0066,66,FiLM-SIREN E130,FullSphereLSD,dB,4.5216603978674366
20260822,P0066,66,FiLM-SIREN E130,HFFirstDifferenceMAE,dB/bin,0.60847491025924683
20260822,P0066,66,FiLM-SIREN E130,HFSecondDifferenceMAE,dB/bin^2,0.40010890364646912
20260822,P0066,66,FiLM-SIREN E130,MultiScaleNotchDepthMAE,dB,0.72847872972488403
20260822,P0066,66,FSC E190,FullSphereERB,dB,0.93770070940250205
20260822,P0066,66,FSC E190,Contralateral25ERB,dB,1.5073801551921999
20260822,P0066,66,FSC E190,ERBBandILDMean,dB,1.8215111494064331
20260822,P0066,66,FSC E190,ITDWeightedMAE,us,13.950532657125567
20260822,P0066,66,FSC E190,FullSphereLSD,dB,4.1458938971476078
20260822,P0066,66,FSC E190,HFFirstDifferenceMAE,dB/bin,0.49103248119354248
20260822,P0066,66,FSC E190,HFSecondDifferenceMAE,dB/bin^2,0.29584676027297974
20260822,P0066,66,FSC E190,MultiScaleNotchDepthMAE,dB,0.60909909009933472
