SubjectLabel,SubjectID,Split,Method,MethodLabel,DirectionCount,Endpoint,EvidenceTier,Unit,EvaluationDirectionCount,Value
P0170,170,val,HYBRID,FSC-Q50@Q50,50,LAP2024LSD_dB,LAP2024 descriptive validation supplement,dB,743,3.5928845462589143
P0171,171,val,HYBRID,FSC-Q14@Q14,14,ERBBandILDMean,Secondary validation supplement,dB,743,1.4340572357177734
P0171,171,val,HYBRID,FSC-Q14@Q14,14,ITDWeightedMAE_us,Deferred validation supplement,us,743,24.224309510781286
P0171,171,val,HYBRID,FSC-Q14@Q14,14,LAP2024LSD_dB,LAP2024 descriptive validation supplement,dB,743,3.5407828550592813
P0171,171,val,HYBRID,FSC-Q26@Q26,26,ERBBandILDMean,Secondary validation supplement,dB,743,1.3855406045913696
P0171,171,val,HYBRID,FSC-Q26@Q26,26,ITDWeightedMAE_us,Deferred validation supplement,us,743,17.156681096653521
P0171,171,val,HYBRID,FSC-Q26@Q26,26,LAP2024LSD_dB,LAP2024 descriptive validation supplement,dB,743,3.3784649397135302
P0171,171,val,HYBRID,FSC-Q50@Q50,50,ERBBandILDMean,Secondary validation supplement,dB,743,1.2616432905197144
P0171,171,val,HYBRID,FSC-Q50@Q50,50,ITDWeightedMAE_us,Deferred validation supplement,us,743,17.56826536023032
P0171,171,val,HYBRID,FSC-Q50@Q50,50,LAP2024LSD_dB,LAP2024 descriptive validation supplement,dB,743,3.2705463259115009
P0172,172,val,HYBRID,FSC-Q14@Q14,14,ERBBandILDMean,Secondary validation supplement,dB,743,1.2470666170120239
P0172,172,val,HYBRID,FSC-Q14@Q14,14,ITDWeightedMAE_us,Deferred validation supplement,us,743,27.719481627628753
P0172,172,val,HYBRID,FSC-Q14@Q14,14,LAP2024LSD_dB,LAP2024 descriptive validation supplement,dB,743,3.2822424286481859
P0172,172,val,HYBRID,FSC-Q26@Q26,26,ERBBandILDMean,Secondary validation supplement,dB,743,1.2663619518280029
P0172,172,val,HYBRID,FSC-Q26@Q26,26,ITDWeightedMAE_us,Deferred validation supplement,us,743,15.316044016073565
P0172,172,val,HYBRID,FSC-Q26@Q26,26,LAP2024LSD_dB,LAP2024 descriptive validation supplement,dB,743,3.1366414349680505
P0172,172,val,HYBRID,FSC-Q50@Q50,50,ERBBandILDMean,Secondary validation supplement,dB,743,1.205597996711731
P0172,172,val,HYBRID,FSC-Q50@Q50,50,ITDWeightedMAE_us,Deferred validation supplement,us,743,16.505733429462644
P0172,172,val,HYBRID,FSC-Q50@Q50,50,LAP2024LSD_dB,LAP2024 descriptive validation supplement,dB,743,2.9936181288986545
P0174,174,val,HYBRID,FSC-Q14@Q14,14,ERBBandILDMean,Secondary validation supplement,dB,743,1.4414268732070923
P0174,174,val,HYBRID,FSC-Q14@Q14,14,ITDWeightedMAE_us,Deferred validation supplement,us,743,20.790488913797819
P0174,174,val,HYBRID,FSC-Q14@Q14,14,LAP2024LSD_dB,LAP2024 descriptive validation supplement,dB,743,3.7129996916985863
P0174,174,val,HYBRID,FSC-Q26@Q26,26,ERBBandILDMean,Secondary validation supplement,dB,743,1.4588370323181152
P0174,174,val,HYBRID,FSC-Q26@Q26,26,ITDWeightedMAE_us,Deferred validation supplement,us,743,16.249168837075747
P0174,174,val,HYBRID,FSC-Q26@Q26,26,LAP2024LSD_dB,LAP2024 descriptive validation supplement,dB,743,3.6876385005426893
P0174,174,val,HYBRID,FSC-Q50@Q50,50,ERBBandILDMean,Secondary validation supplement,dB,743,1.3692477941513062
P0174,174,val,HYBRID,FSC-Q50@Q50,50,ITDWeightedMAE_us,Deferred validation supplement,us,743,19.07806964533102
P0174,174,val,HYBRID,FSC-Q50@Q50,50,LAP2024LSD_dB,LAP2024 descriptive validation supplement,dB,743,3.6229350110525544
P0193,193,val,HYBRID,FSC-Q14@Q14,14,ERBBandILDMean,Secondary validation supplement,dB,743,1.4117004871368408
P0193,193,val,HYBRID,FSC-Q14@Q14,14,ITDWeightedMAE_us,Deferred validation supplement,us,743,23.560046014510863
P0193,193,val,HYBRID,FSC-Q14@Q14,14,LAP2024LSD_dB,LAP2024 descriptive validation supplement,dB,743,3.4598545045992717
