run_name,tikhonov_epsilon,subject_id,split,scope,residual_mae_db,residual_rmse_db,erb_proxy_mae_db,contralateral_high_frequency_mae_db,strict_hrir_ild_mae_db
sonicom_pilot_q26_tikh1e1,0.1,P0277,val,interpolation_only_767,3.3178767234623416,5.042783356157359,1.3831197438004557,5.090957463230755,1.2290222594483806
sonicom_pilot_q26_tikh3e1,0.3,P0001,val,all_793,4.087125683001508,5.907111016147312,2.0623387923189034,6.026631811823718,2.5589762440815536
sonicom_pilot_q26_tikh3e1,0.3,P0001,val,interpolation_only_767,4.102598760288112,5.923934315452811,2.0687284944813826,6.0265311452927754,2.5675738065449085
sonicom_pilot_q26_tikh3e1,0.3,P0002,train,all_793,4.261084958573338,6.137630555942217,2.1873298474188525,6.4353408149527915,2.2947912317843504
sonicom_pilot_q26_tikh3e1,0.3,P0002,train,interpolation_only_767,4.27895491482089,6.159720754166788,2.1948853381006295,6.440284904623919,2.2995673797060685
sonicom_pilot_q26_tikh3e1,0.3,P0238,train,all_793,3.9216831237745717,5.736224549062674,2.126198795473573,6.134465002438285,2.3073353143909534
sonicom_pilot_q26_tikh3e1,0.3,P0238,train,interpolation_only_767,3.943339146318752,5.767428561479442,2.132139156933907,6.1470179983571605,2.3177466865637726
sonicom_pilot_q26_tikh3e1,0.3,P0242,val,all_793,3.9680867668121804,5.838094453993736,2.1212869683548083,6.218488662330897,2.3468645055238575
sonicom_pilot_q26_tikh3e1,0.3,P0242,val,interpolation_only_767,3.9759728180164036,5.846380313131291,2.1246557105928314,6.209116553113949,2.3495444181508134
sonicom_pilot_q26_tikh3e1,0.3,P0243,train,all_793,3.903099017219086,5.765643906996854,2.104382072995901,6.189282853122141,2.3619174978070507
sonicom_pilot_q26_tikh3e1,0.3,P0243,train,interpolation_only_767,3.917897268902123,5.7835807512561175,2.1087311838603817,6.188466122570226,2.367776920055209
sonicom_pilot_q26_tikh3e1,0.3,P0277,val,all_793,4.123189247640401,5.991764780005359,2.200908010024694,6.774652036132105,2.1456805571052744
sonicom_pilot_q26_tikh3e1,0.3,P0277,val,interpolation_only_767,4.138414275612815,6.013286093282358,2.204587462735402,6.788066934320823,2.150282219461991
sonicom_pilot_q26_tikh1,1.0,P0001,val,all_793,6.318249830999804,8.555396993701235,4.18357207213913,10.74631941958626,5.014900666165314
sonicom_pilot_q26_tikh1,1.0,P0001,val,interpolation_only_767,6.327248908717616,8.566623505285657,4.186697427564301,10.735254605165533,5.028744535111565
sonicom_pilot_q26_tikh1,1.0,P0002,train,all_793,6.771365498751148,9.076227505208259,4.440545633774047,11.599481084091778,4.37905219738971
sonicom_pilot_q26_tikh1,1.0,P0002,train,interpolation_only_767,6.785110728896943,9.094326006144069,4.4453031433322465,11.594605394243267,4.385966846103434
sonicom_pilot_q26_tikh1,1.0,P0238,train,all_793,7.002849779240297,9.207767864410389,4.772945121361003,11.946036793401138,4.611723504769211
sonicom_pilot_q26_tikh1,1.0,P0238,train,interpolation_only_767,7.017045565311875,9.230881879382121,4.777329483091322,11.93923925108392,4.624682541283277
sonicom_pilot_q26_tikh1,1.0,P0242,val,all_793,6.6653255781231495,8.991009001347786,4.595009022557029,11.172295563907415,4.82547869154816
sonicom_pilot_q26_tikh1,1.0,P0242,val,interpolation_only_767,6.667054124439538,8.990009485660334,4.597923425174052,11.138358598214676,4.830955462136162
sonicom_pilot_q26_tikh1,1.0,P0243,train,all_793,6.826887941305613,9.138619818197334,4.654348150083929,11.656517984834178,4.878385375716691
sonicom_pilot_q26_tikh1,1.0,P0243,train,interpolation_only_767,6.835236301326102,9.147863079869206,4.656031870170918,11.634860821901874,4.885913858688626
sonicom_pilot_q26_tikh1,1.0,P0277,val,all_793,7.64672091932759,9.967767070627302,5.088045815201199,13.200153051671732,4.457926767545153
sonicom_pilot_q26_tikh1,1.0,P0277,val,interpolation_only_767,7.64627091388424,9.974687393900751,5.087149615493338,13.196133814966785,4.466349564516794
